# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
23,60,52.2,0.0002689672199138,5
5,57,6.0,5.775198453754287e-05,35
9,62,10.0,0.000876218879474943,35
10,61,11.0,0.0005890662554159005,221
52,68,1472.608695652174,0.03942181780343044,23
7,55,8.0,2.06124006767e-05,2
40,66,373.45762711864404,0.012686820933037966,59
12,59,14.5625,0.00019662904658274998,16
17,64,27.0,0.00290456052771,1
30,66,118.66666666666667,0.008763980084356667,3
13,58,16.666666666666668,0.00011264772032569999,3
0,55,1.0,1.774678687376744e-05,967
1,54,2.0,9.807741694647732e-06,159
2,53,3.0,5.481151473269999e-06,23
35,65,209.67307692307693,0.006902550931649037,52
0,45,1.0,4.9388552259143175e-08,44
36,67,243.5,0.0154767709969,2
2,47,3.0,1.88816623819e-07,1
52,67,1535.5,0.0174093071556,2
16,60,22.733333333333334,0.0003805439766818666,15
18,62,28.917241379310344,0.0011066042042395584,145
42,67,474.2068965517241,0.019114715072242532,87
24,59,59.0625,0.0001677277640670625,16
25,58,65.6,0.00010053045327482,5
28,63,94.0,0.002082940178092609,23
48,68,944.8787878787879,0.03268667688920606,33
29,62,103.5,0.0008917415905054999,2
3,55,4.0,1.8347533330111115e-05,18
38,64,301.0,0.0038750526093100004,2
4,48,5.0,3.28679669634e-07,1
5,53,6.0,5.619938078482501e-06,4
6,58,7.0,0.00010777748008892424,33
44,68,594.0,0.02834364560908,5
0,5,1.0,1.73472347598e-18,4
0,59,1.0,0.0001424841092536548,284
1,58,2.0,0.00010336218236865545,1268
57,69,2617.6666666666665,0.0624600942581,9
34,65,186.42857142857142,0.006915347053162967,91
3,60,4.0,0.0003092263501245979,455
8,58,9.0,0.0001082643707475643,14
5,62,6.0,0.000812256254096,1
9,59,10.0,0.00019789335622351215,41
6,61,7.0,0.0005391342192201699,206
7,56,8.0,3.9035182772175e-05,4
11,61,12.460055096418733,0.0006095795077283663,363
53,69,1644.0,0.05071766899086667,3
13,63,16.5,0.0015519650295175,8
44,67,586.9814814814815,0.021891468823716665,54
14,60,18.45,0.00036607743108245,20
19,58,33.0,0.0001271022744,1
0,50,1.0,9.369594601336336e-07,333
20,61,36.625,0.000676415997351875,8
1,51,2.0,1.6795612237706973e-06,43
23,64,52.59090909090909,0.0031063701149555306,132
2,56,3.0,3.291478503851803e-05,133
22,63,46.30177514792899,0.0020353536232468636,169
23,62,51.69565217391305,0.0011558286300971303,23
9,60,10.0,0.00034786644833499994,158
6,52,7.0,2.821329106115e-06,2
10,59,11.0,0.00019446109190550002,26
30,64,117.55102040816327,0.0039003384782289796,49
1,52,2.0,3.0352782462626662e-06,75
